kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
pressure,5,圧,",pressure,cliff,soil,dirt,ground,",アツ,,Think of all the PRESSURE the 'soil' beneath a 'cliff' must experience: surely a landslide is inevitable?
cape,11,埼,",cape,soil,dirt,ground,strange,large,St. Bernard,street,nail,spike,mouth,",,さい,CAPE Odd is reputed to be a 'land' most 'strange'.
hedge,9,垣,",hedge,soil,dirt,ground,span,one,ceiling,sun,day,one,floor,one,",,かき,The 'lands' of Sleeping Beauty's prison castle is 'spanned' with HEDGES.
inlay,13,填,",tool,eye,tool,one,animal legs,eight,needle,ten,eye of the needle,soil,dirt,ground,",テン,,There is a great 'truth' INLAID in the 'soil' (the knowledge of science).
squared jewel,6,圭,",square jewel,ivy,soil,dirt,ground,soil2,dirt2,ground2,",ケイ,,"This kanji depicts a great SQUARED JEWEL made by piling up 'soil' under 'soil'. As a primitive, though, it aptly depicts *ivy climbing up a wall."
seal,9,封,",seal,ivy,square jewel,soil,dirt,ground,glue,soil2,dirt2,ground2,",フウ　　ホウ,,"Traditionally, envelopes were SEALED with 'ivy' and 'glue'."
horizon,11,涯,",horizon,water,water droplets,water pistol,cliff,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",ガイ,,"Sailors long abroad yearn to see 'cliffs' of 'ivy' on the HORIZON, welcoming them home."
Buddhist temple,6,寺,",buddhist temple,soil,dirt,ground,glue,",ジ,てら,The first BUDDHIST TEMPLES were nothing more than heaps of 'soil' 'glued' together - perfect for the austere Buddha.
time,10,時,",time,sun,day,Buddhist temple,soil,dirt,ground,glue,",ジ,とき,"What is TIME? It is the 'sun' rising over a 'Buddhist temple', connecting each 'day' with every day."
level,7,均,",level,soil,dirt,ground,ladle,drop,drop2,",キン,,This kanji depicts a 'ladle' of 'soil' being scooped up and LEVELLED off - see the two 'drops' of earth falling down the middle?
fire,4,火,",fire,",カ,ひ　　ほr,"Two errant flecks of FIRE are drawn first, followed by the conical sweep of a perfect blaze."
inflammation,8,炎,",inflammation,fire,fire2,",エン,ほのお,"INFLAMMATION is the proliferation of multiple 'fires', one atop the other."
anxiety,13,煩,",anxiety,fire,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",ハン　　ボンr,わずら・う  　わずら・わす,ANXIETY is like having one's 'head' set on 'fire'.
thin,11,淡,",thin,water,water droplets,water pistol,inflammation,fire,fire2,",タン,あわ・い,"When an 'inflammation' boils away the 'waters' of the body, the febrile victim is left dangerously THIN."
lamp,6,灯,",lamp,fire,street,nail,spike,",トウ,ひ,The first LAMP was a fleck of 'fire' 'nailed' up.
farm,9,畑,",farm,fire,rice field,brains,",,はた　　はたけ,A FARM is depicted simply with a hearth 'fire' beside a 'field of rice'.
disaster,7,災,",disaster,stream,flood,fire,",サイ,わざわ・い,Fire' and 'flood' is a common euphemism for DISASTER.
ashes,6,灰,",ashes,cliff,fire,",カイ,はい,Gather up the ASHES of your loved one from the 'fire' and cast them from a high Hebridean 'cliff'.
spot,9,点,",spot,fortune-telling,magic wand,augury,mouth,oven-fire,barbecue,",テン,,Some 'fortune tellers' look into the 'fire' and interpret the SPOTS that consequently fill their vision.
illuminate,13,照,",illuminate,shining,sun,day,summon,seduce,sword,dagger,mouth,oven-fire,barbecue,",ショウ,て・らす　　て・る　　て・れる,To ILLUMINATE a clay pot is to take the 'shine' (glaze) and 'fire' it.
fish,11,魚,",fish,bound up,rice field,brains,oven-fire,barbecue,",ギョ,さかな　　うお,"First, 'bind up' a FISH, hurl the inedible guts on the 'rice field' for fertiliser, and cook what's left on the 'fire' for a delicious fishy dinner."
fishing,14,漁,",fishing,water,water droplets,water pistol,fish,bound up,rice field,brains,oven-fire,barbecue,",ギョ　　リョウ,,"Before one can enjoy a 'fish', one must first catch it from the 'water' - this is what we call FISHING."
ri,7,里,",ri,computer,rice field,brains,soil,dirt,ground,",リ,さと,"The traditional measure of 'land' is based on the size of a 'rice field' - the RI. As a primitive, though, this character is a pictograph of a *computer."
black,11,黒,",black,computer,oven-fire,barbecue,",コク,くろ　　くろ・い,Hurl your 'computer' on the 'fire' to watch it go BLACK.
black ink,14,墨,",black ink,black,computer,oven-fire,barbecue,",ボク,すみ,BLACK INK is naturally made out of 'black' 'soil'.
carp,18,鯉,",carp,fish,bound up,rice field,brains,oven-fire,barbecue,computer,",,こい,Would it surprise you to know that CARP are quite intelligent? They are essentially 'fish' 'computers'.
quantity,12,量,",quantity,nightbreak,sun,day,one,floor,computer,",リョウ,はか・る,"Every day, we are gifted a QUANTITY of time measured from 'nightbreak' to nightbreak, and a QUANTITY of space measured by the traditional 'ri'."
rin,9,厘,",rin,cliff,computer,",リン,,"A 'computer' hurled from a 'cliff' has the value of around one RIN, no more."
bury,10,埋,",bury,soil,dirt,ground,computer,",マイ,う・める　　う・まる　　う・もれる,Imagine hurling a little 'soil' over your faithful 'computer' to give it a proper BURIAL after it bluescreens.
same,6,同,",same,monks,hood,one,mouth,",ドウ,おな・じ,"This depicts a monastic 'hood' over 'one' 'mouth', suggesting the SAME -ness and conformity of a *monk's life."
den,9,洞,",den,water,water droplets,water pistol,same,monks,hood,one,mouth,",ドウ,ほら,"In their 'watery' DEN, a cluster of heretical 'monks' gather."
trunk,10,胴,",trunk,moon,month,flesh,part of the body,same,monks,hood,one,mouth,",ドウ,,Heresy was once punished by the removal of  limbs: hence the TRUNK is known morbidly as 'flesh' of the 'monk'.
yonder,6,向,",yonder,alien,drop,helmet,hood,mouth,",コウ,む・く　　む・ける　　む・かう　　む・こう,A 'helmet' with only a 'mouth' inside gestures over YONDER at the little 'drop' that is the strange visitor's downed spaceship.
esteem,8,尚,",esteem,small,little,alien,glass canopy,hood,mouth,",ショウ,,"The ancients ESTEEMED the 'mouths' of their ancestors, constructing 'little' glass 'canopies' to house them."
character,6,字,",character,house,child,",ジ,あざ,"Both a 'child's' CHARACTER, and the CHARACTERS by which they are known, are gifted them by their 'house'."
guard,6,守,",guard,house,glue,",シュ　　スr,まも・る　　もり,The most efficient GUARDS are those that are physically 'glued' by your 'house'.
perfect,7,完,",perfect,house,beginning,two,human legs,",カン,,Fastidious Japanese builders always ensure the 'beginning' of every 'house' is PERFECT.
proclaim,9,宣,",proclaim,house,span,one,ceiling,sun,day,one,floor,one,",セン,,PROCLAIM your message from the 'housetops' so that it 'spans' the world.
wee hours,10,宵,",wee hours,house,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",ショウ,よい,The WEE HOURS are depicted by a 'house' with a single 'candle' inside.
relax,6,安,",relax,house,woman,",アン,やす・い,The picture of RELAXATION is a 'woman' at 'home' with no men around to bother them.
banquet,10,宴,",banquet,relax,house,sun,day,tongue wagging,woman,",エン,,"In the old days, a 'woman' was expected to toil all 'day' in the 'house' to prepare a BANQUET for the men."
draw near,11,寄,",draw near,house,strange,large,St. Bernard,can,street,nail,spike,mouth,",キ,よ・せる　　よ・る,Imagine DRAWING NEAR to a 'strange' haunted 'house'.
wealth,12,富,",wealth,house,wealth,one,ceiling,mouth,rice field,brains,",フ　　フウr,と・む　　とみ,This kanji depicts WEALTH concentrated under the roof of a single 'house'.
savings,12,貯,",savings,shellfish,clam,oyster,eye,animal legs,eight,house,street,nail,spike,",チョ,,Poor families once kept their SAVINGS in the form of strings of 'shells' hung from a 'nail' in the rafters of the 'house'.
tree,4,木,",tree,wood,",モク　　ボク,き　　こr,"It's a TREE - branches, trunk, and roots. As a primitive, it suggests *wood; with the roots separated from the trunk, it represents a wooden *pole."
grove,8,林,",grove,tree,wood,tree2,wood2,",リン,はやし,A GROVE is simply a cluster of 'trees'.
forest,12,森,",forest,tree,wood,tree3,wood3,",シン,もり,"A FOREST is depicted by 'trees', trees, everywhere."
Japanese Judas-tree,10,桂,",Japanese Judas tree,tree,wood,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",ケイ,かつら,The JUDAS TREE is so-called because the 'ivy' hangs from the 'tree' like a noose.
oak,9,柏,",oak,tree,wood,white,dove,",,かしわ,"A 'white bird' sitting in a 'tree' represents the majestic OAK, a symbol of hope for a healthier ecology."
frame,8,枠,",frame,tree,wood,ninety,nine,baseball,ten,needle,",,わく,A FRAME is made using bits of 'wood' joined at 'nine' - 'ten' degree angles.
treetops,11,梢,",treetops,tree,wood,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",ショウ,こずえ,Traditionally the TREETOPS of the 'trees' are festooned with 'candles' at Christmas.
shelf,12,棚,",shelf,tree,wood,companion,moon,month,flesh,part of the body,moon2,month2,flesh,2,part of the body2,",,たな,A SHELF is a 'wood' 'companion' with the books that usually sit on them.
apricot,7,杏,",apricot,tree,wood,mouth,",アン,あんず,APRICOTS are best eaten fresh - caught in the 'mouth' as they fall from the 'tree'.
paulownia,10,桐,",paulownia,tree,wood,same,monks,hood,one,mouth,",トウ,きり,"The PAULOWNIA is St. Paul's 'tree', depicted with a 'monk' to one side."
plant,12,植,",plant,tree,wood,straightaway,ten,needle,eye,fishhook,",ショク,う・える 　う・わる,The best way to PLANT a 'tree' is to put it in the earth 'straightaway'.
chair,12,椅,",chair,tree,wood,strange,large,St. Bernard,street,nail,spike,mouth,",イ,,"The first CHAIRS grew naturally, albeit rarely, and were known as 'strange' 'trees'."
wither,9,枯,",wither,tree,wood,old,tombstone,gravestone,church,ten,needle,mouth,",コ,か・らす　　か・れる,The picture of WITHERING is an 'old' person watching a single 'tree' out the window of their nursing home.
crude,6,朴,",crude,tree,wood,magic wand,augury,",ボク,,The most effective 'magic wands' are as CRUDE as the 'trees' they are hewn from.
village,7,村,",village,tree,wood,measure,glue,",ソン,むら,A rustic VILLAGE is demarcated by a fence of 'trees' 'glued' together around it.
inter-,9,相,",inter-,tree,wood,eye,",ソウ　　ショウ,あい,Take the 'tree' out of your own 'eye' before plucking them out of others - a roadmap for INTER- personal relationships.
desk,6,机,",desk,tree,wood,wind,",キ,つくえ,"Imagine a DESK hewn out of a 'tree' - picturesque, but the 'wind' blows all your notes away!"
book,5,本,",book,tree,wood,one,",ホン,もと,The first BOOKS were nothing but 'slices' of 'trees'.
tag,5,札,",tag,tree,wood,fishhook,",サツ,ふだ,The species of Japanese 'trees' can be read off the TAGS the gardeners hang from 'fishhooks' embedded in the wood.
calendar,14,暦,",calendar,cliff,grove,tree,wood,sun,day,tree2,wood2,",レキ,こよみ,"One natural CALENDAR might be a 'grove of trees' growing day by 'day' until they eventually tumble off a 'cliff', allowing a new grove to rise."
plan,10,案,",plan,relax,house,woman,tree,wood,",アン,,What better than to 'relax' in a hammock strung from a 'tree' while you PLAN what to do with your day off.
parch,17,燥,",parch,fire,furniture,wooden goods,mouth,tree,wood,mouth3,",ソウ,,Parchment is formed by holding pulp ('wood' 'goods') before a 'fire' until the pulp is fully PARCHED.
not yet,5,未,",not yet,tree,wood,one,",ミ,,This 'tree' is NOT YET fully grown - its upper branches are too short.
extremity,5,末,",extremity,tree,wood,one,",マツ　　バツ,すえ,A 'tree' with a fully developed canopy has reached the EXTREMITY of its growth.
obscure,9,昧,",obscure,sun,not yet,one,tree,wood,",マイ,,That which is OBSCURE is that which has 'not yet' been brought into the 'sun'.
splash,8,沫,",splash,water,water droplets,water pistol,extremity,one,tree,wood,",マツ,,A SPLASH is the 'extremity' of 'water' after it has raced as a wave across the world.
flavour,8,味,",flavour,mouth,not yet,one,tree,wood,",ミ,あじ　　あじ・わう,"When a tree is 'not yet' fully grown, it achieves the most 'mouth'-watering FLAVOUR."
younger sister,8,妹,",younger sister,woman,not yet,one,tree,wood,",マイ,いもうと,The YOUNGER SISTER in the family is the 'woman' who is 'not yet' able to do all her elder sister can.
vermilion,6,朱,",vermilion,drop,not yet,one,tree,wood,",シュ,,The last leaf of autumn hangs in bright VERMILION: a 'drop' of colour affirming that winter has 'not yet' come.
stocks,10,株,",stocks,tree,wood,vermilion,drop,not yet,one,tree,wood,",,かぶ,"Nature's STOCKS are not blue-chip, but 'tree' 'vermilion'."
young,8,若,",young,flowers,right,by one’s side,mouth,",ジャク　　ニャクr,わか・い　　も・しくわ,Did you know that 'flowers' picked with the 'right' hand grant eternal YOUTH - while those picked with the left bring senility...
grass,9,草,",grass,flowers,sunflower,early,sun,day,ten,needle,",ソウ,くさ,"In 'early' spring, 'flowers' bloom amid the blades of GRASS."
suffering,8,苦,",suffering,flowers,old,tombstone,gravestone,church,ten,needle,mouth,",ク,くる・しい　　くる・しむ　　くる・しめる　　にが・い　　にが・る,SUFFERING is the picture of a beautiful 'flower' that has grown 'old'.
bullying,8,苛,",bullying,flowers,can,mouth,street,street,nail,spike,",カ,,A gift of 'flowers' 'can' be a form of BULLYING if they are unwanted.
tolerant,13,寛,",tolerant,house,flowers,look,see,telescope,eye,human legs,",カン,,"To become more TOLERANT, you must learn to 'see' beyond your 'house' of 'flowers' (i.e. your hothouse)."
